participant,slide,CHOL,confidence,asst_pred,unasst_pred,gt,name,type
P1Test1_11302019,slide0.1,0.510030217,0.489969783,,,,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide0.2,0.690330148,0.309669852,,,,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide0.3,0.472188532,0.527811468,,,,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide0.4,0.960322406,0.039677594,,,,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.1,0.784178287,0.215821713,0,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.10,0.942989916,0.057010084,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.2,0.997919956,0.002080044,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.3,0.043231785,0.956768215,1,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.4,0.057890296,0.942109704,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.5,0.06280911,0.93719089,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.6,0.696797023,0.303202977,0,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.7,0.961016644,0.038983356,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.8,0.186955869,0.813044131,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide1.9,2.29E-05,0.999977112,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.1,0.243164837,0.756835163,1,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.10,0.656119779,0.343880221,0,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.2,0.94210995,0.05789005,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.3,0.637444496,0.362555504,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.4,0.210665643,0.789334357,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.5,0.682734102,0.317265898,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.6,0.908474073,0.091525927,0,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.7,0.270857871,0.729142129,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.8,0.789529629,0.210470371,1,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide3.9,0.970129056,0.029870944,0,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.1,0.554347933,0.445652067,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.10,0.574100107,0.425899893,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.2,0.154572576,0.845427424,1,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.3,6.75E-05,0.999932528,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.4,0.000752687,0.999247313,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.5,0.175105751,0.824894249,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.6,0.006201565,0.993798435,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.7,0.980009599,0.019990401,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.8,0.45152857,0.54847143,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide5.9,0.013427973,0.986572027,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.1,0.227948666,0.772051334,1,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.10,0.062400401,0.937599599,1,1,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.2,0.0002895,0.9997105,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.3,0.817748114,0.182251886,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.4,0.415653457,0.584346543,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.5,0.044576287,0.955423713,1,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.6,0.687326872,0.312673128,0,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.7,0.84989585,0.15010415,0,1,1,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.8,0.192182124,0.807817876,1,0,0,"None-GI Specialist 2",General Pathologist
P1Test1_11302019,slide7.9,0.217902601,0.782097399,1,1,0,"None-GI Specialist 2",General Pathologist
P10Test2_02032019,slide0.1,0.205443084,0.794556916,,,,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.1,0.296407163,0.703592837,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.10,0.965571441,0.034428559,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.2,0.911425836,0.088574164,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.3,0.772270456,0.227729544,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.4,0.961527228,0.038472772,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.5,0.98128379,0.01871621,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.6,0.701413333,0.298586667,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.7,0.53537178,0.46462822,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.8,0.420455694,0.579544306,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide2.9,0.060705066,0.939294934,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.1,0.061943769,0.938056231,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.10,0.097343385,0.902656615,1,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.2,0.764141485,0.235858515,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.3,0.953724127,0.046275873,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.4,0.694794774,0.305205226,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.5,0.00154376,0.99845624,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.6,0.922114305,0.077885695,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.7,0.000549853,0.999450147,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.8,0.999915844,8.42E-05,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide4.9,0.985824709,0.014175291,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.1,0.039844573,0.960155427,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.10,0.844467402,0.155532598,0,0,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.2,0.005668521,0.994331479,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.3,0.006317377,0.993682623,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.4,0.089899838,0.910100162,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.5,0.030591607,0.969408393,1,1,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.6,0.155556083,0.844443917,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.7,0.605121404,0.394878596,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.8,0.783103645,0.216896355,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide6.9,0.962265499,0.037734501,0,0,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide8.1,0.993674931,0.006325069,0,1,0,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide8.10,0.008207381,0.991792619,1,1,1,"None-GI Specialist 1",General Pathologist
P10Test2_02032019,slide8.2,0.902900323,0.097099677,0,0,0,"None-GI Specialist 1",General Pathologist
